,p,noise,omega,algorithm,ari
0,0.003,0.0,0.0,DiSim,0.15037965808363413
0,0.003,0.0,0.0,Herm,0.2714121805663045
0,0.003,0.0,0.00025,DiSim,0.14355824977022255
0,0.003,0.0,0.00025,Herm,0.2662419489949929
0,0.003,0.0,0.0005,DiSim,0.12021275485790532
0,0.003,0.0,0.0005,Herm,0.2630601144689898
0,0.003,0.0,0.00075,DiSim,0.09396317035955268
0,0.003,0.0,0.00075,Herm,0.24720103031654678
0,0.003,0.0,0.001,DiSim,0.07718677323649244
0,0.003,0.0,0.001,Herm,0.24059399914937016
0,0.003,0.0,0.00125,DiSim,0.06591579178400847
0,0.003,0.0,0.00125,Herm,0.23077262940521528
0,0.003,0.0,0.0015,DiSim,0.05829277330331268
0,0.003,0.0,0.0015,Herm,0.22575173104309706
0,0.003,0.0,0.00175,DiSim,0.049061457690307904
0,0.003,0.0,0.00175,Herm,0.21405348342309
0,0.003,0.0,0.002,DiSim,0.04353001576327187
0,0.003,0.0,0.002,Herm,0.2056513950383624
0,0.006,0.0,0.0,DiSim,0.28184989454067616
0,0.006,0.0,0.0,Herm,0.35011251441551705
0,0.006,0.0,0.00025,DiSim,0.3111181671867691
0,0.006,0.0,0.00025,Herm,0.34797854012154616
0,0.006,0.0,0.0005,DiSim,0.30707414851623605
0,0.006,0.0,0.0005,Herm,0.34821002855004074
0,0.006,0.0,0.00075,DiSim,0.2888789598206166
0,0.006,0.0,0.00075,Herm,0.3417489585593828
0,0.006,0.0,0.001,DiSim,0.26632060907883354
0,0.006,0.0,0.001,Herm,0.33944018329451214
0,0.006,0.0,0.00125,DiSim,0.25102302327139225
0,0.006,0.0,0.00125,Herm,0.3363145229612416
0,0.006,0.0,0.0015,DiSim,0.2378681613931321
0,0.006,0.0,0.0015,Herm,0.33072992141610275
0,0.006,0.0,0.00175,DiSim,0.22920312580550883
0,0.006,0.0,0.00175,Herm,0.3263702632785325
0,0.006,0.0,0.002,DiSim,0.2197021224238317
0,0.006,0.0,0.002,Herm,0.32780909780437195
0,0.003,0.15,0.0,DiSim,0.00178564407545417
0,0.003,0.15,0.0,Herm,0.02438137391609711
0,0.003,0.15,0.00025,DiSim,0.0012060895837575079
0,0.003,0.15,0.00025,Herm,0.005717230235680462
0,0.003,0.15,0.0005,DiSim,0.0017981655269175012
0,0.003,0.15,0.0005,Herm,0.003811213985282252
0,0.003,0.15,0.00075,DiSim,0.002176675319526142
0,0.003,0.15,0.00075,Herm,0.005897545253338426
0,0.003,0.15,0.001,DiSim,0.00223054341029709
0,0.003,0.15,0.001,Herm,0.007487177440838114
0,0.003,0.15,0.00125,DiSim,0.0014130811072803388
0,0.003,0.15,0.00125,Herm,0.012389886999635544
0,0.003,0.15,0.0015,DiSim,0.0012131186466732794
0,0.003,0.15,0.0015,Herm,0.011461316835265316
0,0.003,0.15,0.00175,DiSim,0.0012295031051670214
0,0.003,0.15,0.00175,Herm,0.009420657295036076
0,0.003,0.15,0.002,DiSim,0.0011391984306783056
0,0.003,0.15,0.002,Herm,0.007963602126273384
0,0.006,0.15,0.0,DiSim,0.05786018138289467
0,0.006,0.15,0.0,Herm,0.24218335264817167
0,0.006,0.15,0.00025,DiSim,0.0817812049134957
0,0.006,0.15,0.00025,Herm,0.23870072360724426
0,0.006,0.15,0.0005,DiSim,0.0855891064638409
0,0.006,0.15,0.0005,Herm,0.2367079222847168
0,0.006,0.15,0.00075,DiSim,0.0807537058587961
0,0.006,0.15,0.00075,Herm,0.2284620087127278
0,0.006,0.15,0.001,DiSim,0.07601962365661548
0,0.006,0.15,0.001,Herm,0.2161801325957563
0,0.006,0.15,0.00125,DiSim,0.06970141364435363
0,0.006,0.15,0.00125,Herm,0.09837462773566795
0,0.006,0.15,0.0015,DiSim,0.06499396344014582
0,0.006,0.15,0.0015,Herm,0.000949578359308679
0,0.006,0.15,0.00175,DiSim,0.05852986130866776
0,0.006,0.15,0.00175,Herm,0.0012073157982636171
0,0.006,0.15,0.002,DiSim,0.05363478929035225
0,0.006,0.15,0.002,Herm,0.0011138623256272732
0,0.003,0.0,0.0,DiSim,0.09022576597426726
0,0.003,0.0,0.0,Herm,0.2508952395041874
0,0.003,0.0,0.00025,DiSim,0.07949233354762908
0,0.003,0.0,0.00025,Herm,0.23707302612734413
0,0.003,0.0,0.0005,DiSim,0.07475142965815273
0,0.003,0.0,0.0005,Herm,0.22590516043078787
0,0.003,0.0,0.00075,DiSim,0.07075773010510407
0,0.003,0.0,0.00075,Herm,0.2148310698986128
0,0.003,0.0,0.001,DiSim,0.05990797941174641
0,0.003,0.0,0.001,Herm,0.20147762525180854
0,0.003,0.0,0.00125,DiSim,0.052954335796733185
0,0.003,0.0,0.00125,Herm,0.18603370844033068
0,0.003,0.0,0.0015,DiSim,0.045490349255000964
0,0.003,0.0,0.0015,Herm,0.17833320960683446
0,0.003,0.0,0.00175,DiSim,0.038201818380055014
0,0.003,0.0,0.00175,Herm,0.16055718230548005
0,0.003,0.0,0.002,DiSim,0.0316221084922777
0,0.003,0.0,0.002,Herm,0.14972860711524683
0,0.006,0.0,0.0,DiSim,0.23670465327520848
0,0.006,0.0,0.0,Herm,0.3478835383340676
0,0.006,0.0,0.00025,DiSim,0.26013974479715307
0,0.006,0.0,0.00025,Herm,0.3429877419660598
0,0.006,0.0,0.0005,DiSim,0.2771391240403543
0,0.006,0.0,0.0005,Herm,0.3367920510350888
0,0.006,0.0,0.00075,DiSim,0.27220814410763444
0,0.006,0.0,0.00075,Herm,0.3195334982315632
0,0.006,0.0,0.001,DiSim,0.2586714198567193
0,0.006,0.0,0.001,Herm,0.30878334239654626
0,0.006,0.0,0.00125,DiSim,0.240799775455895
0,0.006,0.0,0.00125,Herm,0.29914046726834864
0,0.006,0.0,0.0015,DiSim,0.2293119858322125
0,0.006,0.0,0.0015,Herm,0.2829390406156206
0,0.006,0.0,0.00175,DiSim,0.21578927953683755
0,0.006,0.0,0.00175,Herm,0.27690735663087057
0,0.006,0.0,0.002,DiSim,0.20935800142817326
0,0.006,0.0,0.002,Herm,0.27270619722789646
0,0.003,0.15,0.0,DiSim,0.0016813717218869713
0,0.003,0.15,0.0,Herm,0.0051264290175019305
0,0.003,0.15,0.00025,DiSim,0.0020723479749305555
0,0.003,0.15,0.00025,Herm,0.006210633303826492
0,0.003,0.15,0.0005,DiSim,0.0031798173367827073
0,0.003,0.15,0.0005,Herm,0.0067633518377904055
0,0.003,0.15,0.00075,DiSim,0.0028174374908169313
0,0.003,0.15,0.00075,Herm,0.004308340668340939
0,0.003,0.15,0.001,DiSim,0.00260486553019919
0,0.003,0.15,0.001,Herm,0.003605732784034858
0,0.003,0.15,0.00125,DiSim,0.001919231468588004
0,0.003,0.15,0.00125,Herm,0.003959603458089919
0,0.003,0.15,0.0015,DiSim,0.001684944092396663
0,0.003,0.15,0.0015,Herm,0.0033428164178706385
0,0.003,0.15,0.00175,DiSim,0.0013691671825990196
0,0.003,0.15,0.00175,Herm,0.004236089452749457
0,0.003,0.15,0.002,DiSim,0.0016891816875860399
0,0.003,0.15,0.002,Herm,0.0035835441141535114
0,0.006,0.15,0.0,DiSim,0.01798780855089098
0,0.006,0.15,0.0,Herm,0.07964095330514043
0,0.006,0.15,0.00025,DiSim,0.019882969312951197
0,0.006,0.15,0.00025,Herm,0.07761233328466731
0,0.006,0.15,0.0005,DiSim,0.018952133051331314
0,0.006,0.15,0.0005,Herm,0.0806785844911132
0,0.006,0.15,0.00075,DiSim,0.019906478319587684
0,0.006,0.15,0.00075,Herm,0.0019419147425899814
0,0.006,0.15,0.001,DiSim,0.019902607522297187
0,0.006,0.15,0.001,Herm,0.0015977990628120852
0,0.006,0.15,0.00125,DiSim,0.017105368946450896
0,0.006,0.15,0.00125,Herm,0.007375508079155949
0,0.006,0.15,0.0015,DiSim,0.015194647763996268
0,0.006,0.15,0.0015,Herm,0.003288004102166108
0,0.006,0.15,0.00175,DiSim,0.013136413632166055
0,0.006,0.15,0.00175,Herm,0.0025827643339959333
0,0.006,0.15,0.002,DiSim,0.011288669779297338
0,0.006,0.15,0.002,Herm,0.0025296486556488575
0,0.003,0.0,0.0,DiSim,0.01922739144367767
0,0.003,0.0,0.0,Herm,0.12379710821027883
0,0.003,0.0,0.00025,DiSim,0.01948931948952345
0,0.003,0.0,0.00025,Herm,0.11321660156750131
0,0.003,0.0,0.0005,DiSim,0.016967387856042734
0,0.003,0.0,0.0005,Herm,0.09559374192026591
0,0.003,0.0,0.00075,DiSim,0.01530077039948616
0,0.003,0.0,0.00075,Herm,0.08761144587830808
0,0.003,0.0,0.001,DiSim,0.014275271602684792
0,0.003,0.0,0.001,Herm,0.07312268128407806
0,0.003,0.0,0.00125,DiSim,0.013611796922047595
0,0.003,0.0,0.00125,Herm,0.07134708819801777
0,0.003,0.0,0.0015,DiSim,0.01226652785577661
0,0.003,0.0,0.0015,Herm,0.043637983139309236
0,0.003,0.0,0.00175,DiSim,0.010543840941810951
0,0.003,0.0,0.00175,Herm,0.00831948652451426
0,0.003,0.0,0.002,DiSim,0.008954038209530493
0,0.003,0.0,0.002,Herm,0.00852895379735206
0,0.006,0.0,0.0,DiSim,0.14509277851655616
0,0.006,0.0,0.0,Herm,0.45595350344348134
0,0.006,0.0,0.00025,DiSim,0.15509711178776597
0,0.006,0.0,0.00025,Herm,0.4544310158740137
0,0.006,0.0,0.0005,DiSim,0.15330215927987176
0,0.006,0.0,0.0005,Herm,0.4531338491484793
0,0.006,0.0,0.00075,DiSim,0.1445132727912222
0,0.006,0.0,0.00075,Herm,0.4580741358114118
0,0.006,0.0,0.001,DiSim,0.13288120470445083
0,0.006,0.0,0.001,Herm,0.4545548699146376
0,0.006,0.0,0.00125,DiSim,0.12352568695296454
0,0.006,0.0,0.00125,Herm,0.45306733036516705
0,0.006,0.0,0.0015,DiSim,0.11465651297284464
0,0.006,0.0,0.0015,Herm,0.44879040879675597
0,0.006,0.0,0.00175,DiSim,0.10484054113303548
0,0.006,0.0,0.00175,Herm,0.44766707438298203
0,0.006,0.0,0.002,DiSim,0.09644269596196206
0,0.006,0.0,0.002,Herm,0.416410433106563
0,0.003,0.15,0.0,DiSim,0.0006133514072135068
0,0.003,0.15,0.0,Herm,0.00016706231243881621
0,0.003,0.15,0.00025,DiSim,0.0011191934102181315
0,0.003,0.15,0.00025,Herm,0.00016699203112341003
0,0.003,0.15,0.0005,DiSim,0.0017102269443813973
0,0.003,0.15,0.0005,Herm,0.0007287953782299135
0,0.003,0.15,0.00075,DiSim,0.002005758748150643
0,0.003,0.15,0.00075,Herm,0.0010758396878483734
0,0.003,0.15,0.001,DiSim,0.001717539299632822
0,0.003,0.15,0.001,Herm,0.0010155504682613484
0,0.003,0.15,0.00125,DiSim,0.001623581794193641
0,0.003,0.15,0.00125,Herm,0.0006921546266146551
0,0.003,0.15,0.0015,DiSim,0.0012705999548854414
0,0.003,0.15,0.0015,Herm,0.0007089220394821456
0,0.003,0.15,0.00175,DiSim,0.0015290556800835618
0,0.003,0.15,0.00175,Herm,0.0004412172422041387
0,0.003,0.15,0.002,DiSim,0.0011229715265651944
0,0.003,0.15,0.002,Herm,0.0005636979644691796
0,0.006,0.15,0.0,DiSim,0.0004311533312266104
0,0.006,0.15,0.0,Herm,7.322155937450647e-05
0,0.006,0.15,0.00025,DiSim,0.0006194492123611538
0,0.006,0.15,0.00025,Herm,0.0003523092566350899
0,0.006,0.15,0.0005,DiSim,0.0014695213001859333
0,0.006,0.15,0.0005,Herm,0.0005653551406904874
0,0.006,0.15,0.00075,DiSim,0.001469144609493666
0,0.006,0.15,0.00075,Herm,0.0005004520402040432
0,0.006,0.15,0.001,DiSim,0.0023455598370160815
0,0.006,0.15,0.001,Herm,0.0002302046150725823
0,0.006,0.15,0.00125,DiSim,0.002120672054307656
0,0.006,0.15,0.00125,Herm,0.0002733889369504858
0,0.006,0.15,0.0015,DiSim,0.002319632185405285
0,0.006,0.15,0.0015,Herm,0.000321672114091199
0,0.006,0.15,0.00175,DiSim,0.0027095000750193845
0,0.006,0.15,0.00175,Herm,0.0005142856236136914
0,0.006,0.15,0.002,DiSim,0.002922415751694562
0,0.006,0.15,0.002,Herm,0.00048602435823612457
0,0.003,0.0,0.0,DiSim,0.02413807382783672
0,0.003,0.0,0.0,Herm,0.16206209982404884
0,0.003,0.0,0.00025,DiSim,0.02802419799647266
0,0.003,0.0,0.00025,Herm,0.1627220912385966
0,0.003,0.0,0.0005,DiSim,0.0342862694552951
0,0.003,0.0,0.0005,Herm,0.15528950456086954
0,0.003,0.0,0.00075,DiSim,0.037184854083926626
0,0.003,0.0,0.00075,Herm,0.149055918370098
0,0.003,0.0,0.001,DiSim,0.0361692013615395
0,0.003,0.0,0.001,Herm,0.14349103962189086
0,0.003,0.0,0.00125,DiSim,0.03689454943202251
0,0.003,0.0,0.00125,Herm,0.13049156509985124
0,0.003,0.0,0.0015,DiSim,0.035662687401655443
0,0.003,0.0,0.0015,Herm,0.058581230873942375
0,0.003,0.0,0.00175,DiSim,0.03380318163029304
0,0.003,0.0,0.00175,Herm,0.05673253283794511
0,0.003,0.0,0.002,DiSim,0.03112963466408472
0,0.003,0.0,0.002,Herm,0.05745009499225705
0,0.006,0.0,0.0,DiSim,0.13967665027918938
0,0.006,0.0,0.0,Herm,0.3934853733287415
0,0.006,0.0,0.00025,DiSim,0.15149251462311694
0,0.006,0.0,0.00025,Herm,0.3752000889376378
0,0.006,0.0,0.0005,DiSim,0.16019907313717882
0,0.006,0.0,0.0005,Herm,0.3705311945287729
0,0.006,0.0,0.00075,DiSim,0.164485536252993
0,0.006,0.0,0.00075,Herm,0.3506705075077118
0,0.006,0.0,0.001,DiSim,0.16045050662551788
0,0.006,0.0,0.001,Herm,0.33507563526014217
0,0.006,0.0,0.00125,DiSim,0.1494892982107304
0,0.006,0.0,0.00125,Herm,0.32332687122817694
0,0.006,0.0,0.0015,DiSim,0.1436112735399967
0,0.006,0.0,0.0015,Herm,0.3115798693944661
0,0.006,0.0,0.00175,DiSim,0.13477872847968525
0,0.006,0.0,0.00175,Herm,0.3045319675166419
0,0.006,0.0,0.002,DiSim,0.12734587190688829
0,0.006,0.0,0.002,Herm,0.2970777511730548
0,0.003,0.15,0.0,DiSim,0.002524929500680888
0,0.003,0.15,0.0,Herm,0.0010158884702681265
0,0.003,0.15,0.00025,DiSim,0.002960096957538558
0,0.003,0.15,0.00025,Herm,0.0014567153649378993
0,0.003,0.15,0.0005,DiSim,0.0038804793741481387
0,0.003,0.15,0.0005,Herm,0.0011195471130004161
0,0.003,0.15,0.00075,DiSim,0.004024375895844534
0,0.003,0.15,0.00075,Herm,0.0012063613452216546
0,0.003,0.15,0.001,DiSim,0.004048661035775797
0,0.003,0.15,0.001,Herm,0.002000596428220929
0,0.003,0.15,0.00125,DiSim,0.004468680133527666
0,0.003,0.15,0.00125,Herm,0.0014296187029326627
0,0.003,0.15,0.0015,DiSim,0.003821699650090977
0,0.003,0.15,0.0015,Herm,0.0018696303797988891
0,0.003,0.15,0.00175,DiSim,0.003691277646236576
0,0.003,0.15,0.00175,Herm,0.0018691657254179892
0,0.003,0.15,0.002,DiSim,0.0032997402089763677
0,0.003,0.15,0.002,Herm,0.0020296665296527312
0,0.006,0.15,0.0,DiSim,0.0010744221644048973
0,0.006,0.15,0.0,Herm,0.0010540920482121244
0,0.006,0.15,0.00025,DiSim,0.0015317350370899214
0,0.006,0.15,0.00025,Herm,0.002263024302711986
0,0.006,0.15,0.0005,DiSim,0.0021143416778365044
0,0.006,0.15,0.0005,Herm,0.00311940246893103
0,0.006,0.15,0.00075,DiSim,0.003300213859602869
0,0.006,0.15,0.00075,Herm,0.0021498909100913124
0,0.006,0.15,0.001,DiSim,0.00349596960303998
0,0.006,0.15,0.001,Herm,0.0013299333846589973
0,0.006,0.15,0.00125,DiSim,0.004009169599764374
0,0.006,0.15,0.00125,Herm,0.0017537763489329952
0,0.006,0.15,0.0015,DiSim,0.004024183847664412
0,0.006,0.15,0.0015,Herm,0.0019589646434307185
0,0.006,0.15,0.00175,DiSim,0.004884041156795405
0,0.006,0.15,0.00175,Herm,0.0024482942656112307
0,0.006,0.15,0.002,DiSim,0.0047021514803492785
0,0.006,0.15,0.002,Herm,0.0023136576650320067
0,0.003,0.0,0.0,DiSim,0.10071148593074748
0,0.003,0.0,0.0,Herm,0.24686829890878761
0,0.003,0.0,0.00025,DiSim,0.08668199115809891
0,0.003,0.0,0.00025,Herm,0.23615715520131111
0,0.003,0.0,0.0005,DiSim,0.07312860223501659
0,0.003,0.0,0.0005,Herm,0.22600398577966344
0,0.003,0.0,0.00075,DiSim,0.05969378235178077
0,0.003,0.0,0.00075,Herm,0.20773461713983338
0,0.003,0.0,0.001,DiSim,0.04729886007097631
0,0.003,0.0,0.001,Herm,0.18472191866284154
0,0.003,0.0,0.00125,DiSim,0.03846332406129673
0,0.003,0.0,0.00125,Herm,0.17884021110548623
0,0.003,0.0,0.0015,DiSim,0.027786612783590826
0,0.003,0.0,0.0015,Herm,0.1701732007337424
0,0.003,0.0,0.00175,DiSim,0.021210082791545938
0,0.003,0.0,0.00175,Herm,0.1525200066499248
0,0.003,0.0,0.002,DiSim,0.015688558740426913
0,0.003,0.0,0.002,Herm,0.14464824765670933
0,0.006,0.0,0.0,DiSim,0.2713189763680486
0,0.006,0.0,0.0,Herm,0.36363284060710066
0,0.006,0.0,0.00025,DiSim,0.29194978346859995
0,0.006,0.0,0.00025,Herm,0.3902799543367545
0,0.006,0.0,0.0005,DiSim,0.2832546951216127
0,0.006,0.0,0.0005,Herm,0.3491916442407538
0,0.006,0.0,0.00075,DiSim,0.26512441848979384
0,0.006,0.0,0.00075,Herm,0.371614825639394
0,0.006,0.0,0.001,DiSim,0.24954551693968977
0,0.006,0.0,0.001,Herm,0.35901480424583243
0,0.006,0.0,0.00125,DiSim,0.2353121290170444
0,0.006,0.0,0.00125,Herm,0.31803873236292834
0,0.006,0.0,0.0015,DiSim,0.21626732876237897
0,0.006,0.0,0.0015,Herm,0.3070667344334126
0,0.006,0.0,0.00175,DiSim,0.19864880026553325
0,0.006,0.0,0.00175,Herm,0.30419842707384903
0,0.006,0.0,0.002,DiSim,0.1849529421868213
0,0.006,0.0,0.002,Herm,0.2995775871372148
0,0.003,0.15,0.0,DiSim,0.0007993992673198661
0,0.003,0.15,0.0,Herm,0.006992363034148457
0,0.003,0.15,0.00025,DiSim,0.0012611299400774943
0,0.003,0.15,0.00025,Herm,0.007359669034649672
0,0.003,0.15,0.0005,DiSim,0.0018510269834652263
0,0.003,0.15,0.0005,Herm,0.0036723488124405595
0,0.003,0.15,0.00075,DiSim,0.0026861876100211244
0,0.003,0.15,0.00075,Herm,0.0032203142300831302
0,0.003,0.15,0.001,DiSim,0.0027473939814370457
0,0.003,0.15,0.001,Herm,0.0016723946359785353
0,0.003,0.15,0.00125,DiSim,0.0025374959928076606
0,0.003,0.15,0.00125,Herm,0.01750187675132469
0,0.003,0.15,0.0015,DiSim,0.0026132876087846518
0,0.003,0.15,0.0015,Herm,0.017348001095076653
0,0.003,0.15,0.00175,DiSim,0.0022328887751175293
0,0.003,0.15,0.00175,Herm,0.016588257729387993
0,0.003,0.15,0.002,DiSim,0.0021028625302829088
0,0.003,0.15,0.002,Herm,0.010038459360541015
0,0.006,0.15,0.0,DiSim,0.024313925960492658
0,0.006,0.15,0.0,Herm,0.10991819848148558
0,0.006,0.15,0.00025,DiSim,0.027939552446703406
0,0.006,0.15,0.00025,Herm,0.10891171504367073
0,0.006,0.15,0.0005,DiSim,0.03189151481500683
0,0.006,0.15,0.0005,Herm,0.10431578606456059
0,0.006,0.15,0.00075,DiSim,0.03202176014442711
0,0.006,0.15,0.00075,Herm,0.003851704850605949
0,0.006,0.15,0.001,DiSim,0.03004001168807997
0,0.006,0.15,0.001,Herm,0.002550578707977632
0,0.006,0.15,0.00125,DiSim,0.027150999267627696
0,0.006,0.15,0.00125,Herm,0.0030058731151264752
0,0.006,0.15,0.0015,DiSim,0.025560631456355336
0,0.006,0.15,0.0015,Herm,0.002682389465200771
0,0.006,0.15,0.00175,DiSim,0.022986951550575268
0,0.006,0.15,0.00175,Herm,0.00252926062065639
0,0.006,0.15,0.002,DiSim,0.020827560772966415
0,0.006,0.15,0.002,Herm,0.0024844720589430355
0,0.003,0.0,0.0,DiSim,0.10071148593074748
0,0.003,0.0,0.0,Herm,0.24686829890878761
0,0.003,0.0,0.00025,DiSim,0.08668199115809891
0,0.003,0.0,0.00025,Herm,0.23615715520131111
0,0.003,0.0,0.0005,DiSim,0.07312860223501659
0,0.003,0.0,0.0005,Herm,0.22600398577966344
0,0.003,0.0,0.00075,DiSim,0.05969378235178077
0,0.003,0.0,0.00075,Herm,0.20773461713983338
0,0.003,0.0,0.001,DiSim,0.04729886007097631
0,0.003,0.0,0.001,Herm,0.18472191866284154
0,0.003,0.0,0.00125,DiSim,0.03846332406129673
0,0.003,0.0,0.00125,Herm,0.17884021110548623
0,0.003,0.0,0.0015,DiSim,0.027786612783590826
0,0.003,0.0,0.0015,Herm,0.1701732007337424
0,0.003,0.0,0.00175,DiSim,0.021210082791545938
0,0.003,0.0,0.00175,Herm,0.1525200066499248
0,0.003,0.0,0.002,DiSim,0.015688558740426913
0,0.003,0.0,0.002,Herm,0.14464824765670933
0,0.006,0.0,0.0,DiSim,0.2713189763680486
0,0.006,0.0,0.0,Herm,0.36363284060710066
0,0.006,0.0,0.00025,DiSim,0.29194978346859995
0,0.006,0.0,0.00025,Herm,0.3902799543367545
0,0.006,0.0,0.0005,DiSim,0.2832546951216127
0,0.006,0.0,0.0005,Herm,0.3491916442407538
0,0.006,0.0,0.00075,DiSim,0.26512441848979384
0,0.006,0.0,0.00075,Herm,0.371614825639394
0,0.006,0.0,0.001,DiSim,0.24954551693968977
0,0.006,0.0,0.001,Herm,0.35901480424583243
0,0.006,0.0,0.00125,DiSim,0.2353121290170444
0,0.006,0.0,0.00125,Herm,0.31803873236292834
0,0.006,0.0,0.0015,DiSim,0.21626732876237897
0,0.006,0.0,0.0015,Herm,0.3070667344334126
0,0.006,0.0,0.00175,DiSim,0.19864880026553325
0,0.006,0.0,0.00175,Herm,0.30419842707384903
0,0.006,0.0,0.002,DiSim,0.1849529421868213
0,0.006,0.0,0.002,Herm,0.2995775871372148
0,0.003,0.15,0.0,DiSim,0.0007993992673198661
0,0.003,0.15,0.0,Herm,0.006992363034148457
0,0.003,0.15,0.00025,DiSim,0.0012611299400774943
0,0.003,0.15,0.00025,Herm,0.007359669034649672
0,0.003,0.15,0.0005,DiSim,0.0018510269834652263
0,0.003,0.15,0.0005,Herm,0.0036723488124405595
0,0.003,0.15,0.00075,DiSim,0.0026861876100211244
0,0.003,0.15,0.00075,Herm,0.0032203142300831302
0,0.003,0.15,0.001,DiSim,0.0027473939814370457
0,0.003,0.15,0.001,Herm,0.0016723946359785353
0,0.003,0.15,0.00125,DiSim,0.0025374959928076606
0,0.003,0.15,0.00125,Herm,0.01750187675132469
0,0.003,0.15,0.0015,DiSim,0.0026132876087846518
0,0.003,0.15,0.0015,Herm,0.017348001095076653
0,0.003,0.15,0.00175,DiSim,0.0022328887751175293
0,0.003,0.15,0.00175,Herm,0.016588257729387993
0,0.003,0.15,0.002,DiSim,0.0021028625302829088
0,0.003,0.15,0.002,Herm,0.010038459360541015
0,0.006,0.15,0.0,DiSim,0.024313925960492658
0,0.006,0.15,0.0,Herm,0.10991819848148558
0,0.006,0.15,0.00025,DiSim,0.027939552446703406
0,0.006,0.15,0.00025,Herm,0.10891171504367073
0,0.006,0.15,0.0005,DiSim,0.03189151481500683
0,0.006,0.15,0.0005,Herm,0.10431578606456059
0,0.006,0.15,0.00075,DiSim,0.03202176014442711
0,0.006,0.15,0.00075,Herm,0.003851704850605949
0,0.006,0.15,0.001,DiSim,0.03004001168807997
0,0.006,0.15,0.001,Herm,0.002550578707977632
0,0.006,0.15,0.00125,DiSim,0.027150999267627696
0,0.006,0.15,0.00125,Herm,0.0030058731151264752
0,0.006,0.15,0.0015,DiSim,0.025560631456355336
0,0.006,0.15,0.0015,Herm,0.002682389465200771
0,0.006,0.15,0.00175,DiSim,0.022986951550575268
0,0.006,0.15,0.00175,Herm,0.00252926062065639
0,0.006,0.15,0.002,DiSim,0.020827560772966415
0,0.006,0.15,0.002,Herm,0.0024844720589430355
