,c,k,noise,algorithm,ari
0,20,3,0.0,DiSim,0.8217265021806365
0,20,3,0.0,Herm,0.0005082641136401404
0,40,3,0.0,DiSim,0.8982835059921026
0,40,3,0.0,Herm,0.0004477204392612469
0,60,3,0.0,DiSim,0.9286051396274848
0,60,3,0.0,Herm,0.00034224459435006896
0,20,5,0.0,DiSim,0.8075829578450124
0,20,5,0.0,Herm,0.6909561625704602
0,40,5,0.0,DiSim,0.9056185914062205
0,40,5,0.0,Herm,0.7048891959744749
0,60,5,0.0,DiSim,0.93145675515253
0,60,5,0.0,Herm,0.7030880496852971
0,20,7,0.0,DiSim,0.7992806466191211
0,20,7,0.0,Herm,0.9898624892167611
0,40,7,0.0,DiSim,0.8975832909821123
0,40,7,0.0,Herm,0.9969185117179782
0,60,7,0.0,DiSim,0.9331177586191653
0,60,7,0.0,Herm,0.9985806394398004
0,20,3,0.0875,DiSim,0.75869756394688
0,20,3,0.0875,Herm,7.774423603332577e-05
0,40,3,0.0875,DiSim,0.8604122341468968
0,40,3,0.0875,Herm,0.0014360210439395098
0,60,3,0.0875,DiSim,0.9188554792478141
0,60,3,0.0875,Herm,-5.605726768106777e-06
0,20,5,0.0875,DiSim,0.7573558048556644
0,20,5,0.0875,Herm,0.6768903267706906
0,40,5,0.0875,DiSim,0.8773392706663318
0,40,5,0.0875,Herm,0.7038121625405068
0,60,5,0.0875,DiSim,0.9148661888142037
0,60,5,0.0875,Herm,0.7080780102531771
0,20,7,0.0875,DiSim,0.7640960385090904
0,20,7,0.0875,Herm,0.9802403111947072
0,40,7,0.0875,DiSim,0.8790270677134702
0,40,7,0.0875,Herm,0.9957492265579378
0,60,7,0.0875,DiSim,0.9147261882822931
0,60,7,0.0875,Herm,0.9982549489934279
0,20,3,0.175,DiSim,0.2553177748275146
0,20,3,0.175,Herm,0.0005358278069759318
0,40,3,0.175,DiSim,0.39003314569974773
0,40,3,0.175,Herm,0.0018274350512527023
0,60,3,0.175,DiSim,0.4116616239726167
0,60,3,0.175,Herm,0.0006035085800438052
0,20,5,0.175,DiSim,0.4862443920265305
0,20,5,0.175,Herm,0.6526967714925773
0,40,5,0.175,DiSim,0.6196396361679478
0,40,5,0.175,Herm,0.6961913335403043
0,60,5,0.175,DiSim,0.6495139653764009
0,60,5,0.175,Herm,0.7057892362032995
0,20,7,0.175,DiSim,0.5845579691463583
0,20,7,0.175,Herm,0.9641532855810069
0,40,7,0.175,DiSim,0.6793344027955146
0,40,7,0.175,Herm,0.9935909101574997
0,60,7,0.175,DiSim,0.8858950433916009
0,60,7,0.175,Herm,0.9979175354448111
0,20,3,0.26249999999999996,DiSim,2.287835893870397e-06
0,20,3,0.26249999999999996,Herm,0.00035915191731881595
0,40,3,0.26249999999999996,DiSim,0.3294395385067402
0,40,3,0.26249999999999996,Herm,0.00020652069814860335
0,60,3,0.26249999999999996,DiSim,0.38808165827645674
0,60,3,0.26249999999999996,Herm,0.0004510575107696873
0,20,5,0.26249999999999996,DiSim,0.401185422554565
0,20,5,0.26249999999999996,Herm,0.5989878117121425
0,40,5,0.26249999999999996,DiSim,0.5205131399531285
0,40,5,0.26249999999999996,Herm,0.6772086277253977
0,60,5,0.26249999999999996,DiSim,0.6047844103347619
0,60,5,0.26249999999999996,Herm,0.6985002816011872
0,20,7,0.26249999999999996,DiSim,0.4693993345002951
0,20,7,0.26249999999999996,Herm,0.9221410578741212
0,40,7,0.26249999999999996,DiSim,0.659909389159088
0,40,7,0.26249999999999996,Herm,0.9862862861210815
0,60,7,0.26249999999999996,DiSim,0.8479159697241249
0,60,7,0.26249999999999996,Herm,0.9947658768317903
0,20,3,0.35,DiSim,-1.678309783248722e-05
0,20,3,0.35,Herm,0.0005100538609916078
0,40,3,0.35,DiSim,0.0026019855252516176
0,40,3,0.35,Herm,0.00023992763884996216
0,60,3,0.35,DiSim,0.0019622725825239567
0,60,3,0.35,Herm,0.0009027538504516444
0,20,5,0.35,DiSim,0.020364188296341516
0,20,5,0.35,Herm,0.48718213338554467
0,40,5,0.35,DiSim,0.4701529126741325
0,40,5,0.35,Herm,0.648804571612764
0,60,5,0.35,DiSim,0.5368345257093448
0,60,5,0.35,Herm,0.6759439066431061
0,20,7,0.35,DiSim,0.19562352974464603
0,20,7,0.35,Herm,0.6359747016840812
0,40,7,0.35,DiSim,0.5999312393617581
0,40,7,0.35,Herm,0.9670496494446248
0,60,7,0.35,DiSim,0.6528502956294125
0,60,7,0.35,Herm,0.9883652537244064
0,20,3,0.0,DiSim,0.8247601698900571
0,20,3,0.0,Herm,0.00021005994330765618
0,40,3,0.0,DiSim,0.9019729274168404
0,40,3,0.0,Herm,0.0006541536480653621
0,60,3,0.0,DiSim,0.9250410875997682
0,60,3,0.0,Herm,0.0009079196684391071
0,20,5,0.0,DiSim,0.8071977254278515
0,20,5,0.0,Herm,0.7006145193406187
0,40,5,0.0,DiSim,0.9027518831706471
0,40,5,0.0,Herm,0.7023675452064109
0,60,5,0.0,DiSim,0.9331602591997169
0,60,5,0.0,Herm,0.7085104358711
0,20,3,0.0875,DiSim,0.7397229182390023
0,20,3,0.0875,Herm,0.00021310623000570685
0,40,3,0.0875,DiSim,0.8733737008051105
0,40,3,0.0875,Herm,0.0006672957041474681
0,60,3,0.0875,DiSim,0.907602306590859
0,60,3,0.0875,Herm,0.0005614710691473119
0,20,5,0.0875,DiSim,0.7559242806918198
0,20,5,0.0875,Herm,0.6789833073531623
0,40,5,0.0875,DiSim,0.8800436091650669
0,40,5,0.0875,Herm,0.6975384833517334
0,60,5,0.0875,DiSim,0.9129591049164917
0,60,5,0.0875,Herm,0.7078641683776934
0,20,3,0.175,DiSim,0.2989484145894128
0,20,3,0.175,Herm,1.7043377865874305e-05
0,40,3,0.175,DiSim,0.37759873531899435
0,40,3,0.175,Herm,0.0005736122155430729
0,60,3,0.175,DiSim,0.4266854762039073
0,60,3,0.175,Herm,0.00019785560126480133
0,20,5,0.175,DiSim,0.6072468869884817
0,20,5,0.175,Herm,0.6538630436296661
0,40,5,0.175,DiSim,0.6229788095534052
0,40,5,0.175,Herm,0.6903679225544888
0,60,5,0.175,DiSim,0.6445236055999757
0,60,5,0.175,Herm,0.7041788272639837
0,20,3,0.26249999999999996,DiSim,0.0885928214004383
0,20,3,0.26249999999999996,Herm,8.416578098560216e-05
0,40,3,0.26249999999999996,DiSim,0.2968848216124522
0,40,3,0.26249999999999996,Herm,-2.901960475415673e-05
0,60,3,0.26249999999999996,DiSim,0.3322113882511724
0,60,3,0.26249999999999996,Herm,0.0004565372365427446
0,20,5,0.26249999999999996,DiSim,0.4113969896403484
0,20,5,0.26249999999999996,Herm,0.6014252305529183
0,40,5,0.26249999999999996,DiSim,0.5131400811910536
0,40,5,0.26249999999999996,Herm,0.679735962510208
0,60,5,0.26249999999999996,DiSim,0.609093260406047
0,60,5,0.26249999999999996,Herm,0.6926929576580556
0,20,3,0.35,DiSim,-0.00015992692409272063
0,20,3,0.35,Herm,0.0001528570541872061
0,40,3,0.35,DiSim,0.007827420334796697
0,40,3,0.35,Herm,0.000922849977946272
0,60,3,0.35,DiSim,0.0015981982189760733
0,60,3,0.35,Herm,6.683223546694632e-05
0,20,5,0.35,DiSim,0.0827505109837634
0,20,5,0.35,Herm,0.4750759942540957
0,40,5,0.35,DiSim,0.4807651578744561
0,40,5,0.35,Herm,0.6492148537287231
0,60,5,0.35,DiSim,0.5364775790026136
0,60,5,0.35,Herm,0.6766278582316856
0,20,3,0.0,DiSim,0.8111986484612311
0,20,3,0.0,Herm,0.0011242712316944844
0,40,3,0.0,DiSim,0.9079666765323319
0,40,3,0.0,Herm,0.0007618674865465824
0,60,3,0.0,DiSim,0.9241373766608922
0,60,3,0.0,Herm,0.0010252975288940328
0,20,5,0.0,DiSim,0.8105973063239442
0,20,5,0.0,Herm,0.694225626335836
0,40,5,0.0,DiSim,0.9013288515410856
0,40,5,0.0,Herm,0.6999501584292825
0,60,5,0.0,DiSim,0.9326294945501374
0,60,5,0.0,Herm,0.7009393034353443
0,20,3,0.0875,DiSim,0.7562856116809739
0,20,3,0.0875,Herm,0.000810672531448421
0,40,3,0.0875,DiSim,0.8718240290580181
0,40,3,0.0875,Herm,4.272537311692502e-05
0,60,3,0.0875,DiSim,0.9157567768452852
0,60,3,0.0875,Herm,0.0001593328659903405
0,20,5,0.0875,DiSim,0.7645767201260092
0,20,5,0.0875,Herm,0.6813665063894105
0,40,5,0.0875,DiSim,0.8791168297921517
0,40,5,0.0875,Herm,0.7049433726764853
0,60,5,0.0875,DiSim,0.9212213113542187
0,60,5,0.0875,Herm,0.6952203972409474
0,20,3,0.175,DiSim,0.2970142364925116
0,20,3,0.175,Herm,0.0004330162232583563
0,40,3,0.175,DiSim,0.4070491131445551
0,40,3,0.175,Herm,0.0002393824371549004
0,60,3,0.175,DiSim,0.42785301366222767
0,60,3,0.175,Herm,0.00013772477460877167
0,20,5,0.175,DiSim,0.5124835757613271
0,20,5,0.175,Herm,0.649557513463979
0,40,5,0.175,DiSim,0.5908002337086746
0,40,5,0.175,Herm,0.6985531824405294
0,60,5,0.175,DiSim,0.6381654845087494
0,60,5,0.175,Herm,0.701852398834369
0,20,3,0.26249999999999996,DiSim,-5.598387799623934e-05
0,20,3,0.26249999999999996,Herm,0.00011132486428144804
0,40,3,0.26249999999999996,DiSim,0.3399840861795182
0,40,3,0.26249999999999996,Herm,7.27196703994572e-05
0,60,3,0.26249999999999996,DiSim,0.32869139071840864
0,60,3,0.26249999999999996,Herm,5.342566732804784e-05
0,20,5,0.26249999999999996,DiSim,0.31912738935688806
0,20,5,0.26249999999999996,Herm,0.5918079626373646
0,40,5,0.26249999999999996,DiSim,0.5783203747757383
0,40,5,0.26249999999999996,Herm,0.6827853598987781
0,60,5,0.26249999999999996,DiSim,0.6227077981885398
0,60,5,0.26249999999999996,Herm,0.6957637430668195
0,20,3,0.35,DiSim,6.578200906147359e-05
0,20,3,0.35,Herm,0.00022768599352040618
0,40,3,0.35,DiSim,0.007710711214657787
0,40,3,0.35,Herm,0.0009953145841051613
0,60,3,0.35,DiSim,0.0031968810747796247
0,60,3,0.35,Herm,0.00016758509451339517
0,20,5,0.35,DiSim,0.04608520036590566
0,20,5,0.35,Herm,0.48689697571864704
0,40,5,0.35,DiSim,0.4867950689399724
0,40,5,0.35,Herm,0.6456796563285762
0,60,5,0.35,DiSim,0.5327637032557461
0,60,5,0.35,Herm,0.6819010425921895
0,20,3,0.0,DiSim,0.8123148781063558
0,20,3,0.0,Herm,0.001646034080683543
0,40,3,0.0,DiSim,0.9095990256883473
0,40,3,0.0,Herm,-3.0365895940200137e-05
0,60,3,0.0,DiSim,0.9270042169421687
0,60,3,0.0,Herm,7.668590143724665e-05
0,20,5,0.0,DiSim,0.8066814065378487
0,20,5,0.0,Herm,0.6912532308088476
0,40,5,0.0,DiSim,0.9009577914079727
0,40,5,0.0,Herm,0.701980457495846
0,60,5,0.0,DiSim,0.928644712864156
0,60,5,0.0,Herm,0.7028267348744833
0,20,3,0.0875,DiSim,0.7488942574877515
0,20,3,0.0875,Herm,0.00012004821379301621
0,40,3,0.0875,DiSim,0.8746252609205525
0,40,3,0.0875,Herm,0.0001778556924103924
0,60,3,0.0875,DiSim,0.9163711244326159
0,60,3,0.0875,Herm,-8.023362739988934e-05
0,20,5,0.0875,DiSim,0.7612958129468689
0,20,5,0.0875,Herm,0.678997543785199
0,40,5,0.0875,DiSim,0.8769268108203851
0,40,5,0.0875,Herm,0.7006408066680074
0,60,5,0.0875,DiSim,0.91847817563956
0,60,5,0.0875,Herm,0.7028998008326148
0,20,3,0.175,DiSim,0.2968559649140916
0,20,3,0.175,Herm,0.0002446704951708822
0,40,3,0.175,DiSim,0.3749555436099356
0,40,3,0.175,Herm,0.0004034644971935671
0,60,3,0.175,DiSim,0.42608842226113025
0,60,3,0.175,Herm,0.0014247243841558907
0,20,5,0.175,DiSim,0.5003278745428347
0,20,5,0.175,Herm,0.6527617308365137
0,40,5,0.175,DiSim,0.6172117765935617
0,40,5,0.175,Herm,0.6962246766631657
0,60,5,0.175,DiSim,0.6380525838698713
0,60,5,0.175,Herm,0.6998867644813894
0,20,3,0.26249999999999996,DiSim,4.003238748522198e-06
0,20,3,0.26249999999999996,Herm,8.366532987061052e-06
0,40,3,0.26249999999999996,DiSim,0.27459576857510704
0,40,3,0.26249999999999996,Herm,0.0015534893391503687
0,60,3,0.26249999999999996,DiSim,0.36105445140706804
0,60,3,0.26249999999999996,Herm,-2.381180598184234e-05
0,20,5,0.26249999999999996,DiSim,0.3997465116057047
0,20,5,0.26249999999999996,Herm,0.5995813191103632
0,40,5,0.26249999999999996,DiSim,0.5679842441510141
0,40,5,0.26249999999999996,Herm,0.6803461723830035
0,60,5,0.26249999999999996,DiSim,0.8299535055230839
0,60,5,0.26249999999999996,Herm,0.6949457117622102
0,20,3,0.35,DiSim,5.780065085685506e-05
0,20,3,0.35,Herm,0.0003879239089440947
0,40,3,0.35,DiSim,0.0002316263395253319
0,40,3,0.35,Herm,-3.510801016991481e-05
0,60,3,0.35,DiSim,0.0001270809246473136
0,60,3,0.35,Herm,0.0002049521159671654
0,20,5,0.35,DiSim,0.0043563462823794615
0,20,5,0.35,Herm,0.48819307626496433
0,40,5,0.35,DiSim,0.47201161348808207
0,40,5,0.35,Herm,0.6444768243422604
0,60,5,0.35,DiSim,0.5519089422353671
0,60,5,0.35,Herm,0.6861826356048308
0,20,3,0.0,DiSim,0.8167543993222394
0,20,3,0.0,Herm,0.0026840154700057
0,40,3,0.0,DiSim,0.9112499306685393
0,40,3,0.0,Herm,0.0006546569843865779
0,60,3,0.0,DiSim,0.9371939752379962
0,60,3,0.0,Herm,5.185300690616535e-06
0,20,5,0.0,DiSim,0.8142134452757241
0,20,5,0.0,Herm,0.6956644794020126
0,40,5,0.0,DiSim,0.902634108144172
0,40,5,0.0,Herm,0.7014416191298788
0,60,5,0.0,DiSim,0.9343200028989251
0,60,5,0.0,Herm,0.7033341862759568
0,20,3,0.0875,DiSim,0.7374381525816452
0,20,3,0.0875,Herm,0.0002368122827605666
0,40,3,0.0875,DiSim,0.8712790813410695
0,40,3,0.0875,Herm,0.00013430048555347689
0,60,3,0.0875,DiSim,0.9092299015130557
0,60,3,0.0875,Herm,0.0007139768174855536
0,20,5,0.0875,DiSim,0.7596983483574834
0,20,5,0.0875,Herm,0.6871127523057798
0,40,5,0.0875,DiSim,0.8843835245834202
0,40,5,0.0875,Herm,0.702438705182429
0,60,5,0.0875,DiSim,0.9202338338741124
0,60,5,0.0875,Herm,0.6997799684969076
0,20,3,0.175,DiSim,0.3041098592624078
0,20,3,0.175,Herm,1.7883267679902154e-05
0,40,3,0.175,DiSim,0.3697090909792002
0,40,3,0.175,Herm,0.00013258260262545202
0,60,3,0.175,DiSim,0.41612520729378605
0,60,3,0.175,Herm,0.0007487334902458504
0,20,5,0.175,DiSim,0.49892736545903366
0,20,5,0.175,Herm,0.6503769919503504
0,40,5,0.175,DiSim,0.60288127559962
0,40,5,0.175,Herm,0.6982970948204812
0,60,5,0.175,DiSim,0.6415212092216297
0,60,5,0.175,Herm,0.6983950623530985
0,20,3,0.26249999999999996,DiSim,0.18530158255927648
0,20,3,0.26249999999999996,Herm,3.2106172076173694e-06
0,40,3,0.26249999999999996,DiSim,0.3350496329975214
0,40,3,0.26249999999999996,Herm,-8.686156987022622e-05
0,60,3,0.26249999999999996,DiSim,0.3836726563825893
0,60,3,0.26249999999999996,Herm,0.000472269673528718
0,20,5,0.26249999999999996,DiSim,0.3730749332590669
0,20,5,0.26249999999999996,Herm,0.5920576686084064
0,40,5,0.26249999999999996,DiSim,0.5427268738709882
0,40,5,0.26249999999999996,Herm,0.6758281740018328
0,60,5,0.26249999999999996,DiSim,0.5935219759662949
0,60,5,0.26249999999999996,Herm,0.6974383907688841
0,20,3,0.35,DiSim,0.000200664841321776
0,20,3,0.35,Herm,9.235391149934515e-05
0,40,3,0.35,DiSim,0.00031388798915123526
0,40,3,0.35,Herm,-3.3987454351583014e-05
0,60,3,0.35,DiSim,0.00031807226905941437
0,60,3,0.35,Herm,0.0015582193833419769
0,20,5,0.35,DiSim,0.01964170295454164
0,20,5,0.35,Herm,0.48531414832527436
0,40,5,0.35,DiSim,0.4729851908416045
0,40,5,0.35,Herm,0.6411936295908072
0,60,5,0.35,DiSim,0.5586613599957578
0,60,5,0.35,Herm,0.6793682679305278
0,20,3,0.0,DiSim,0.8167543993222394
0,20,3,0.0,Herm,0.0026840154700057
0,40,3,0.0,DiSim,0.9112499306685393
0,40,3,0.0,Herm,0.0006546569843865779
0,60,3,0.0,DiSim,0.9371939752379962
0,60,3,0.0,Herm,5.185300690616535e-06
0,20,5,0.0,DiSim,0.8142134452757241
0,20,5,0.0,Herm,0.6956644794020126
0,40,5,0.0,DiSim,0.902634108144172
0,40,5,0.0,Herm,0.7014416191298788
0,60,5,0.0,DiSim,0.9329123785676513
0,60,5,0.0,Herm,0.7033341862759568
0,20,3,0.0875,DiSim,0.7372170695767528
0,20,3,0.0875,Herm,0.0002368122827605666
0,40,3,0.0875,DiSim,0.8712790813410695
0,40,3,0.0875,Herm,0.00013430048555347689
0,60,3,0.0875,DiSim,0.9092299015130557
0,60,3,0.0875,Herm,0.0007139768174855536
0,20,5,0.0875,DiSim,0.7596983483574834
0,20,5,0.0875,Herm,0.6871127523057798
0,40,5,0.0875,DiSim,0.8843835245834202
0,40,5,0.0875,Herm,0.702438705182429
0,60,5,0.0875,DiSim,0.9202338338741124
0,60,5,0.0875,Herm,0.6997799684969076
0,20,3,0.175,DiSim,0.30417243771817193
0,20,3,0.175,Herm,1.7883267679902154e-05
0,40,3,0.175,DiSim,0.3697090909792002
0,40,3,0.175,Herm,0.00013258260262545202
0,60,3,0.175,DiSim,0.4162675113256189
0,60,3,0.175,Herm,0.0007487334902458504
0,20,5,0.175,DiSim,0.499076701166885
0,20,5,0.175,Herm,0.6503769919503504
0,40,5,0.175,DiSim,0.60288127559962
0,40,5,0.175,Herm,0.6982970948204812
0,60,5,0.175,DiSim,0.6415040693657487
0,60,5,0.175,Herm,0.6983950623530985
0,20,3,0.26249999999999996,DiSim,0.18530158255927648
0,20,3,0.26249999999999996,Herm,3.2106172076173694e-06
0,40,3,0.26249999999999996,DiSim,0.3350496329975214
0,40,3,0.26249999999999996,Herm,-8.686156987022622e-05
0,60,3,0.26249999999999996,DiSim,0.3836726563825893
0,60,3,0.26249999999999996,Herm,0.000472269673528718
0,20,5,0.26249999999999996,DiSim,0.3730749332590669
0,20,5,0.26249999999999996,Herm,0.5920576686084064
0,40,5,0.26249999999999996,DiSim,0.5427268738709882
0,40,5,0.26249999999999996,Herm,0.6758281740018328
0,60,5,0.26249999999999996,DiSim,0.5935219759662949
0,60,5,0.26249999999999996,Herm,0.6974383907688841
0,20,3,0.35,DiSim,0.000200664841321776
0,20,3,0.35,Herm,9.235391149934515e-05
0,40,3,0.35,DiSim,0.00031388798915123526
0,40,3,0.35,Herm,-3.3987454351583014e-05
0,60,3,0.35,DiSim,0.00031807226905941437
0,60,3,0.35,Herm,0.0015582193833419769
0,20,5,0.35,DiSim,0.01964170295454164
0,20,5,0.35,Herm,0.48531414832527436
0,40,5,0.35,DiSim,0.4731817073626357
0,40,5,0.35,Herm,0.6411936295908072
0,60,5,0.35,DiSim,0.558482801796882
0,60,5,0.35,Herm,0.6793682679305278
0,20,3,0.0,DiSim,0.808086040533965
0,20,3,0.0,Herm,1.0200138273635982e-05
0,40,3,0.0,DiSim,0.9044850997417837
0,40,3,0.0,Herm,0.0007069136290570158
0,60,3,0.0,DiSim,0.9330808514772715
0,60,3,0.0,Herm,0.0020841794018753223
0,20,5,0.0,DiSim,0.8035974388108938
0,20,5,0.0,Herm,0.6908856611921984
0,40,5,0.0,DiSim,0.8979625384080485
0,40,5,0.0,Herm,0.7090702113116897
0,60,5,0.0,DiSim,0.9310561880671953
0,60,5,0.0,Herm,0.705472310383225
0,20,3,0.0875,DiSim,0.7469978437232002
0,20,3,0.0875,Herm,0.0016886579103805506
0,40,3,0.0875,DiSim,0.8769201349042385
0,40,3,0.0875,Herm,0.0004093822186313448
0,60,3,0.0875,DiSim,0.900880759596291
0,60,3,0.0875,Herm,7.99655876556467e-05
0,20,5,0.0875,DiSim,0.7635486193954768
0,20,5,0.0875,Herm,0.6829796740862909
0,40,5,0.0875,DiSim,0.8819139989954545
0,40,5,0.0875,Herm,0.6993935780778985
0,60,5,0.0875,DiSim,0.917909739315822
0,60,5,0.0875,Herm,0.7020793478770319
0,20,3,0.175,DiSim,0.25731401240567575
0,20,3,0.175,Herm,0.0010022976946543645
0,40,3,0.175,DiSim,0.40159448849319296
0,40,3,0.175,Herm,0.0013060141559137096
0,60,3,0.175,DiSim,0.4241066564535777
0,60,3,0.175,Herm,3.290389694593632e-05
0,20,5,0.175,DiSim,0.5232296773805712
0,20,5,0.175,Herm,0.6539273028920131
0,40,5,0.175,DiSim,0.574147817962015
0,40,5,0.175,Herm,0.6988881264217219
0,60,5,0.175,DiSim,0.8605977156370253
0,60,5,0.175,Herm,0.6982778177322359
0,20,3,0.26249999999999996,DiSim,0.1834876066929616
0,20,3,0.26249999999999996,Herm,9.734961630039927e-05
0,40,3,0.26249999999999996,DiSim,0.33560307294424296
0,40,3,0.26249999999999996,Herm,7.56138687395069e-05
0,60,3,0.26249999999999996,DiSim,0.3365866281961331
0,60,3,0.26249999999999996,Herm,0.0009349275009235521
0,20,5,0.26249999999999996,DiSim,0.3788394212376077
0,20,5,0.26249999999999996,Herm,0.5943217832334247
0,40,5,0.26249999999999996,DiSim,0.5329598069877103
0,40,5,0.26249999999999996,Herm,0.6775842891188655
0,60,5,0.26249999999999996,DiSim,0.5961797951886653
0,60,5,0.26249999999999996,Herm,0.6892337422137929
0,20,3,0.35,DiSim,0.0004857222025264043
0,20,3,0.35,Herm,0.000932377169759608
0,40,3,0.35,DiSim,0.001245308280743293
0,40,3,0.35,Herm,-3.900486630317653e-05
0,60,3,0.35,DiSim,0.00044413067448545316
0,60,3,0.35,Herm,3.1243520479657825e-05
0,20,5,0.35,DiSim,0.014695080874260967
0,20,5,0.35,Herm,0.4718753898555795
0,40,5,0.35,DiSim,0.4726616111417729
0,40,5,0.35,Herm,0.6476956859281138
0,60,5,0.35,DiSim,0.5692092894699146
0,60,5,0.35,Herm,0.6834165686584414
0,20,3,0.0,DiSim,0.808134522548017
0,20,3,0.0,Herm,0.0003456895593426349
0,40,3,0.0,DiSim,0.9007839892566152
0,40,3,0.0,Herm,-3.1102154527397295e-05
0,60,3,0.0,DiSim,0.9243959502800468
0,60,3,0.0,Herm,0.0004179879227186032
0,20,5,0.0,DiSim,0.8008381152552838
0,20,5,0.0,Herm,0.7011254535832938
0,40,5,0.0,DiSim,0.8988049533293117
0,40,5,0.0,Herm,0.6968037548949139
0,60,5,0.0,DiSim,0.9335705103827963
0,60,5,0.0,Herm,0.7056399255712051
0,20,3,0.0875,DiSim,0.7461612032106865
0,20,3,0.0875,Herm,0.0003577198478921607
0,40,3,0.0875,DiSim,0.8618046740254632
0,40,3,0.0875,Herm,0.00028559200750028933
0,60,3,0.0875,DiSim,0.9108600952741395
0,60,3,0.0875,Herm,0.00010663946325825656
0,20,5,0.0875,DiSim,0.76030740360997
0,20,5,0.0875,Herm,0.676146110564457
0,40,5,0.0875,DiSim,0.8716220195996529
0,40,5,0.0875,Herm,0.6974014042732348
0,60,5,0.0875,DiSim,0.9159077497654988
0,60,5,0.0875,Herm,0.6979646838576288
0,20,3,0.175,DiSim,0.23336522239480406
0,20,3,0.175,Herm,0.0003655399398124597
0,40,3,0.175,DiSim,0.3901852126734854
0,40,3,0.175,Herm,0.00011794942314176629
0,60,3,0.175,DiSim,0.42328844577694075
0,60,3,0.175,Herm,0.0019926895201848845
0,20,5,0.175,DiSim,0.5172440758527309
0,20,5,0.175,Herm,0.6552219463624591
0,40,5,0.175,DiSim,0.6211004203493686
0,40,5,0.175,Herm,0.6935317002963407
0,60,5,0.175,DiSim,0.6456244731636506
0,60,5,0.175,Herm,0.7004723156173203
0,20,3,0.26249999999999996,DiSim,-0.0001209493034561283
0,20,3,0.26249999999999996,Herm,0.001275862749823236
0,40,3,0.26249999999999996,DiSim,0.31692885894591727
0,40,3,0.26249999999999996,Herm,-2.3638438184836993e-05
0,60,3,0.26249999999999996,DiSim,0.3661228994163816
0,60,3,0.26249999999999996,Herm,0.00011392157109909454
0,20,5,0.26249999999999996,DiSim,0.3175577081715598
0,20,5,0.26249999999999996,Herm,0.5884506542318871
0,40,5,0.26249999999999996,DiSim,0.54945633471172
0,40,5,0.26249999999999996,Herm,0.6885967996775814
0,60,5,0.26249999999999996,DiSim,0.6082928048889478
0,60,5,0.26249999999999996,Herm,0.6914598705317926
0,20,3,0.35,DiSim,3.979922621797498e-05
0,20,3,0.35,Herm,0.00038097163187529083
0,40,3,0.35,DiSim,0.003748184427543241
0,40,3,0.35,Herm,0.0001432756401573557
0,60,3,0.35,DiSim,0.000546429304926192
0,60,3,0.35,Herm,-7.075379331754713e-05
0,20,5,0.35,DiSim,0.042794579661607025
0,20,5,0.35,Herm,0.48420106569882354
0,40,5,0.35,DiSim,0.45688134002874115
0,40,5,0.35,Herm,0.6463697141162859
0,60,5,0.35,DiSim,0.5597073290821194
0,60,5,0.35,Herm,0.6819125817610412
